,zip_code,counts
13,60632.0,195.0
29,60628.0,185.0
17,60618.0,185.0
374,60620.0,158.0
38,60609.0,156.0
12,60629.0,153.0
1,60617.0,150.0
117,60636.0,146.0
134,60619.0,143.0
6,60647.0,137.0
18,60608.0,128.0
96,60623.0,119.0
776,60621.0,119.0
8,60625.0,110.0
2,60651.0,109.0
9,60614.0,98.0
10,60639.0,98.0
24,60622.0,98.0
224,60643.0,97.0
452,60637.0,88.0
53,60641.0,80.0
124,60634.0,79.0
186,60630.0,74.0
0,60624.0,68.0
100,60644.0,67.0
5,60657.0,65.0
54,60652.0,63.0
14,60638.0,61.0
245,60649.0,60.0
11,60612.0,58.0
66,60640.0,57.0
4,60659.0,57.0
172,60645.0,47.0
431,60655.0,46.0
56,60616.0,37.0
23,60613.0,37.0
3,60660.0,37.0
355,60631.0,35.0
58,60626.0,34.0
58,60646.0,31.0
48,60642.0,28.0
618,60653.0,27.0
108,60607.0,25.0
300,60707.0,19.0
439,60615.0,17.0
145,60654.0,16.0
66,60633.0,15.0
42,60656.0,13.0
266,60611.0,12.0
122,60610.0,11.0
197,60605.0,8.0
178,60601.0,7.0
378,60661.0,5.0
226,60606.0,5.0
63,60827.0,5.0
515,0.0,3.0
595,60603.0,3.0
755,60602.0,2.0
578,60604.0,1.0
