,response_time,counts
0,0 days 00:00:00.000000000,777.0
3,1 days 00:00:00.000000000,554.0
9,2 days 00:00:00.000000000,300.0
22,3 days 00:00:00.000000000,219.0
54,4 days 00:00:00.000000000,125.0
127,5 days 00:00:00.000000000,89.0
11,7 days 00:00:00.000000000,72.0
467,8 days 00:00:00.000000000,72.0
325,6 days 00:00:00.000000000,70.0
71,9 days 00:00:00.000000000,57.0
20,10 days 00:00:00.000000000,40.0
1,12 days 00:00:00.000000000,27.0
15,13 days 00:00:00.000000000,25.0
2,14 days 00:00:00.000000000,22.0
64,15 days 00:00:00.000000000,21.0
62,11 days 00:00:00.000000000,19.0
5,22 days 00:00:00.000000000,18.0
8,20 days 00:00:00.000000000,17.0
33,16 days 00:00:00.000000000,15.0
14,29 days 00:00:00.000000000,15.0
237,21 days 00:00:00.000000000,14.0
3,19 days 00:00:00.000000000,14.0
10,28 days 00:00:00.000000000,12.0
16,34 days 00:00:00.000000000,10.0
104,23 days 00:00:00.000000000,10.0
63,64 days 00:00:00.000000000,9.0
277,42 days 00:00:00.000000000,9.0
48,46 days 00:00:00.000000000,9.0
140,31 days 00:00:00.000000000,8.0
13,27 days 00:00:00.000000000,8.0
137,37 days 00:00:00.000000000,7.0
190,47 days 00:00:00.000000000,7.0
262,48 days 00:00:00.000000000,7.0
18,17 days 00:00:00.000000000,7.0
351,56 days 00:00:00.000000000,7.0
133,88 days 00:00:00.000000000,6.0
73,76 days 00:00:00.000000000,6.0
75,49 days 00:00:00.000000000,6.0
365,62 days 00:00:00.000000000,6.0
84,35 days 00:00:00.000000000,6.0
138,40 days 00:00:00.000000000,5.0
315,63 days 00:00:00.000000000,5.0
136,57 days 00:00:00.000000000,5.0
92,67 days 00:00:00.000000000,5.0
124,24 days 00:00:00.000000000,5.0
117,59 days 00:00:00.000000000,5.0
637,26 days 00:00:00.000000000,5.0
179,43 days 00:00:00.000000000,5.0
85,61 days 00:00:00.000000000,5.0
25,33 days 00:00:00.000000000,5.0
56,50 days 00:00:00.000000000,5.0
30,36 days 00:00:00.000000000,5.0
17,45 days 00:00:00.000000000,4.0
512,18 days 00:00:00.000000000,4.0
70,54 days 00:00:00.000000000,4.0
310,44 days 00:00:00.000000000,4.0
127,32 days 00:00:00.000000000,4.0
27,131 days 00:00:00.000000000,4.0
177,109 days 00:00:00.000000000,4.0
261,25 days 00:00:00.000000000,4.0
37,84 days 00:00:00.000000000,4.0
202,91 days 00:00:00.000000000,3.0
541,125 days 00:00:00.000000000,3.0
463,70 days 00:00:00.000000000,3.0
230,93 days 00:00:00.000000000,3.0
431,77 days 00:00:00.000000000,3.0
96,39 days 00:00:00.000000000,3.0
7,58 days 00:00:00.000000000,3.0
552,41 days 00:00:00.000000000,3.0
68,94 days 00:00:00.000000000,3.0
564,55 days 00:00:00.000000000,3.0
599,53 days 00:00:00.000000000,3.0
149,99 days 00:00:00.000000000,3.0
51,38 days 00:00:00.000000000,3.0
680,68 days 00:00:00.000000000,3.0
170,81 days 00:00:00.000000000,3.0
58,83 days 00:00:00.000000000,3.0
65,89 days 00:00:00.000000000,3.0
125,71 days 00:00:00.000000000,3.0
558,74 days 00:00:00.000000000,2.0
821,108 days 00:00:00.000000000,2.0
773,103 days 00:00:00.000000000,2.0
696,72 days 00:00:00.000000000,2.0
443,78 days 00:00:00.000000000,2.0
465,147 days 00:00:00.000000000,2.0
457,65 days 00:00:00.000000000,2.0
649,167 days 00:00:00.000000000,2.0
479,30 days 00:00:00.000000000,2.0
501,148 days 00:00:00.000000000,2.0
378,123 days 00:00:00.000000000,2.0
411,104 days 00:00:00.000000000,2.0
172,66 days 00:00:00.000000000,2.0
341,160 days 00:00:00.000000000,2.0
169,157 days 00:00:00.000000000,2.0
151,85 days 00:00:00.000000000,2.0
274,52 days 00:00:00.000000000,2.0
101,92 days 00:00:00.000000000,2.0
40,60 days 00:00:00.000000000,2.0
192,95 days 00:00:00.000000000,2.0
757,75 days 00:00:00.000000000,1.0
667,254 days 00:00:00.000000000,1.0
54,215 days 00:00:00.000000000,1.0
114,223 days 00:00:00.000000000,1.0
716,102 days 00:00:00.000000000,1.0
722,86 days 00:00:00.000000000,1.0
776,144 days 00:00:00.000000000,1.0
79,73 days 00:00:00.000000000,1.0
162,141 days 00:00:00.000000000,1.0
796,212 days 00:00:00.000000000,1.0
804,164 days 00:00:00.000000000,1.0
810,134 days 00:00:00.000000000,1.0
826,130 days 00:00:00.000000000,1.0
929,107 days 00:00:00.000000000,1.0
940,69 days 00:00:00.000000000,1.0
956,127 days 00:00:00.000000000,1.0
985,240 days 00:00:00.000000000,1.0
0,136 days 00:00:00.000000000,1.0
357,211 days 00:00:00.000000000,1.0
582,140 days 00:00:00.000000000,1.0
384,231 days 00:00:00.000000000,1.0
419,153 days 00:00:00.000000000,1.0
322,190 days 00:00:00.000000000,1.0
438,126 days 00:00:00.000000000,1.0
317,114 days 00:00:00.000000000,1.0
446,122 days 00:00:00.000000000,1.0
458,172 days 00:00:00.000000000,1.0
273,173 days 00:00:00.000000000,1.0
464,87 days 00:00:00.000000000,1.0
263,216 days 00:00:00.000000000,1.0
469,132 days 00:00:00.000000000,1.0
228,169 days 00:00:00.000000000,1.0
486,117 days 00:00:00.000000000,1.0
493,124 days 00:00:00.000000000,1.0
509,90 days 00:00:00.000000000,1.0
186,129 days 00:00:00.000000000,1.0
551,133 days 00:00:00.000000000,1.0
49,182 days 00:00:00.000000000,1.0
995,51 days 00:00:00.000000000,1.0
